1668046319.391463 client started (13024): version 3.3a, socket /private/tmp/tmux-644719205/default, protocol 8
1668046319.391516 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Mon Feb 21 20:34:37 PST 2022; root:xnu-8020.101.4~2/RELEASE_X86_64
1668046319.392128 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1668046319.397496 sending message 105 to peer 0x7fb5bc831000 (44 bytes)
1668046319.397503 sending message 105 to peer 0x7fb5bc831000 (10 bytes)
1668046319.397509 sending message 105 to peer 0x7fb5bc831000 (12 bytes)
1668046319.397516 sending message 105 to peer 0x7fb5bc831000 (11 bytes)
1668046319.397522 sending message 105 to peer 0x7fb5bc831000 (1295 bytes)
1668046319.397529 sending message 105 to peer 0x7fb5bc831000 (33 bytes)
1668046319.397536 sending message 105 to peer 0x7fb5bc831000 (16 bytes)
1668046319.397542 sending message 105 to peer 0x7fb5bc831000 (29 bytes)
1668046319.397549 sending message 105 to peer 0x7fb5bc831000 (15 bytes)
1668046319.397555 sending message 105 to peer 0x7fb5bc831000 (8 bytes)
1668046319.397561 sending message 105 to peer 0x7fb5bc831000 (66 bytes)
1668046319.397568 sending message 105 to peer 0x7fb5bc831000 (20 bytes)
1668046319.397574 sending message 105 to peer 0x7fb5bc831000 (18 bytes)
1668046319.397580 sending message 105 to peer 0x7fb5bc831000 (26 bytes)
1668046319.397587 sending message 105 to peer 0x7fb5bc831000 (57 bytes)
1668046319.397593 sending message 105 to peer 0x7fb5bc831000 (49 bytes)
1668046319.397599 sending message 105 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397606 sending message 105 to peer 0x7fb5bc831000 (51 bytes)
1668046319.397612 sending message 105 to peer 0x7fb5bc831000 (26 bytes)
1668046319.397618 sending message 105 to peer 0x7fb5bc831000 (9 bytes)
1668046319.397625 sending message 105 to peer 0x7fb5bc831000 (22 bytes)
1668046319.397631 sending message 105 to peer 0x7fb5bc831000 (38 bytes)
1668046319.397640 sending message 105 to peer 0x7fb5bc831000 (35 bytes)
1668046319.397647 sending message 105 to peer 0x7fb5bc831000 (14 bytes)
1668046319.397654 sending message 105 to peer 0x7fb5bc831000 (19 bytes)
1668046319.397660 sending message 105 to peer 0x7fb5bc831000 (38 bytes)
1668046319.397666 sending message 105 to peer 0x7fb5bc831000 (64 bytes)
1668046319.397673 sending message 105 to peer 0x7fb5bc831000 (26 bytes)
1668046319.397679 sending message 105 to peer 0x7fb5bc831000 (38 bytes)
1668046319.397685 sending message 105 to peer 0x7fb5bc831000 (30 bytes)
1668046319.397692 sending message 105 to peer 0x7fb5bc831000 (22 bytes)
1668046319.397698 sending message 105 to peer 0x7fb5bc831000 (74 bytes)
1668046319.397705 sending message 105 to peer 0x7fb5bc831000 (34 bytes)
1668046319.397711 sending message 105 to peer 0x7fb5bc831000 (43 bytes)
1668046319.397717 sending message 105 to peer 0x7fb5bc831000 (22 bytes)
1668046319.397723 sending message 106 to peer 0x7fb5bc831000 (0 bytes)
1668046319.397829 sending message 200 to peer 0x7fb5bc831000 (4 bytes)
1668046319.397841 client loop enter
1668046319.398141 peer 0x7fb5bc831000 message 303
1668046319.398168 open write file 2 -
1668046319.398214 sending message 305 to peer 0x7fb5bc831000 (8 bytes)
1668046319.398243 write check file 2
1668046319.398286 peer 0x7fb5bc831000 message 304
1668046319.398306 write 58 to file 2
1668046319.398324 peer 0x7fb5bc831000 message 203
1668046319.398333 file 2 58 bytes left
1668046319.398360 write check file 2
1668046319.398371 client loop exit
